,Recency,Frequency,Monetary
86,-0.8550902998566579,3.5863213331131174,3.1305686614123514
87,-0.5417340544218071,-0.8091666242446708,-0.5735456225377431
93,-0.8550902998566579,3.5863213331131174,3.316040007816094
94,0.2062776282291269,0.9490285586984446,2.072311479334617
95,0.6712578633905183,-0.8091666242446708,-0.250469416721162
96,-0.3193522028228808,-0.8091666242446708,-0.05569906131808549
97,2.7030193257261637,-0.8091666242446708,1.5715161121300079
99,-0.6023836503124234,-0.8091666242446708,-0.5544974825234045
100,-0.9864977576196597,0.06993096722688691,-0.5334960538290211
101,1.7932753873669194,-0.8091666242446708,-0.6883297473834938
102,1.591110067731532,-0.3696178285088919,-0.8506122828561636
104,0.984614108825369,-0.8091666242446708,-0.5201482048258492
105,-0.2789191388958033,1.8281261501700024,1.4331773581264011
107,-0.4608679265676521,-0.3696178285088919,0.2099948673368304
108,-0.5518423204035765,-0.8091666242446708,-0.40552064415946243
109,1.227212492387834,-0.8091666242446708,-0.38686466730593433
110,-0.03632075533333817,0.9490285586984446,1.9284357729108146
111,-0.3496770007681889,-0.8091666242446708,1.4540342660398333
112,1.8033836533486889,-0.8091666242446708,-0.3235999427321117
113,-0.32946046880465013,-0.3696178285088919,1.1870998673484185
114,0.13551976635674126,-0.8091666242446708,-0.6222852559135615
117,0.3579016179556676,0.06993096722688691,-0.31272099040352414
118,0.3174685540285901,-0.3696178285088919,-0.15175871248183628
119,0.6611495974087489,-0.8091666242446708,-0.6449915781957295
121,2.258255622528311,-0.8091666242446708,0.3550816880135007
122,1.6618679296039176,-0.3696178285088919,0.07175848221973109
123,-0.5518423204035765,-0.8091666242446708,-0.3871168259601982
124,-0.8550902998566579,-0.8091666242446708,-0.5526909727615135
125,-0.12729514916926257,0.06993096722688691,3.7697223531429875
127,0.2163858942108963,-0.3696178285088919,-0.31485794090936103
128,-0.14751168113280133,-0.8091666242446708,0.6400307525929722
129,0.37811814991920634,-0.8091666242446708,-0.7049029690240419
131,-0.7843324379842722,-0.3696178285088919,-0.4344932971781897
132,-0.14751168113280133,-0.8091666242446708,-0.5992070937054044
134,-0.7843324379842722,-0.3696178285088919,1.0534030907204712
135,-0.5518423204035765,-0.8091666242446708,-0.6942897241729326
136,-0.966281225656121,1.8281261501700024,1.7766919637615757
137,1.833708451293997,-0.8091666242446708,-0.8262266592078379
138,-0.8247655019113497,0.5094797629626657,-0.4337225196797828
139,-0.05653728729687693,-0.3696178285088919,-0.45932603199258343
140,-0.7135745761118866,0.06993096722688691,-0.3084711761886756
141,-0.8247655019113497,0.9490285586984446,-0.09933756275376424
143,1.146346364533679,-0.8091666242446708,-0.4466714311105372
144,-0.41032659665880516,-0.3696178285088919,0.1339197304139986
146,-0.8955233637837353,0.06993096722688691,0.29486093238846434
147,-0.6428167142395009,-0.3696178285088919,-0.45476158399420563
148,-0.42043486264057456,0.5094797629626657,1.2810752578743876
149,-0.7337911080754252,-0.3696178285088919,-0.27930582879534666
150,0.5701752035728246,-0.3696178285088919,1.8689940746205935
151,-0.8550902998566579,0.9490285586984446,1.8276393026089055
152,0.41855121384628385,-0.8091666242446708,-0.5020846126317411
153,0.00411230859373934,0.06993096722688691,0.6818725295279703
154,-0.8247655019113497,1.3885773544342235,0.8579447561830744
155,-0.9258481617290435,3.5863213331131174,1.115254221405614
156,-0.592275384330654,-0.8091666242446708,-0.787823272519639
157,-0.8753068318201965,0.06993096722688691,0.2298055050131674
158,-0.592275384330654,-0.8091666242446708,0.8150619779977868
159,-0.8955233637837353,1.3885773544342235,0.38493049826674497
161,-0.5013009904947295,0.5094797629626657,2.22875070843997
162,-0.754007640038964,-0.8091666242446708,-0.5811359743872884
163,0.984614108825369,-0.8091666242446708,-0.7174883203652156
165,-0.47097619254942147,1.3885773544342235,2.328526500726411
166,0.46909254375513076,-0.3696178285088919,2.567429889612484
167,-0.7843324379842722,-0.3696178285088919,0.8995230837777967
168,-0.06664555327864631,0.9490285586984446,0.9930287817656741
169,0.5802834695545939,-0.3696178285088919,0.305669129751378
170,-0.8146572359295803,0.06993096722688691,1.6499773473633372
171,0.8633149170441365,-0.8091666242446708,-0.3598686370516761
172,-0.7135745761118866,-0.3696178285088919,-0.00915207916576232
173,-0.8550902998566579,0.5094797629626657,0.5943591749627651
174,1.78316712138515,-0.8091666242446708,-0.753597439655813
175,-0.2890274048775726,-0.3696178285088919,-0.24576120065423374
177,-0.32946046880465013,0.06993096722688691,0.10485750461957771
178,-0.5417340544218071,0.5094797629626657,0.6756694266330769
180,-0.2587026069322645,0.06993096722688691,-0.3435159601445589
181,-0.8146572359295803,0.9490285586984446,1.4076792255497108
182,-0.8550902998566579,0.06993096722688691,-0.6958832163254005
183,-0.2890274048775726,-0.8091666242446708,-0.7604508860649869
184,0.6409330654452102,-0.8091666242446708,1.8946103830442074
185,-0.40021833067703577,-0.8091666242446708,-0.7650650130818168
186,-0.38000179871349704,0.06993096722688691,0.6047052069115949
187,-0.2688108729140339,-0.8091666242446708,-0.6346387718352927
188,-0.9056316297655047,3.146772537377339,1.2062142460540266
189,1.6315431316586093,-0.3696178285088919,-0.3323193631828388
190,0.5196338736639776,-0.3696178285088919,3.325736448963044
191,-0.4608679265676521,-0.3696178285088919,-0.6834747523984119
192,-0.6933580441483478,-0.8091666242446708,0.9087694029090754
194,-0.7843324379842722,-0.3696178285088919,-0.3855090322721152
196,1.3384034181872975,-0.8091666242446708,-0.7935928130716784
197,-0.6226001822759621,-0.8091666242446708,-0.3175210373833486
198,0.9138562469529834,-0.3696178285088919,-0.6382036177654241
199,-0.5518423204035765,0.5094797629626657,1.2466228585779244
200,0.9340727789165222,-0.3696178285088919,-0.6383872795912164
204,-0.9864977576196597,2.2676749459057812,3.5830474196103848
205,-0.9258481617290435,-0.8091666242446708,-0.7741344447989102
206,0.17595283028381878,-0.8091666242446708,0.6966844041506746
207,-0.43054312862234395,-0.8091666242446708,-0.7868071107785753
208,1.7629505894216113,-0.8091666242446708,-0.8347737085187845
209,-0.673141512184809,0.06993096722688691,-0.46769995745134885
210,-0.42043486264057456,-0.8091666242446708,0.6110716483974592
211,0.6611495974087489,0.06993096722688691,-0.4048537409723644
212,-0.2890274048775726,-0.3696178285088919,-0.16773954946296424
213,1.2878620882784504,-0.8091666242446708,-0.7052544857152099
214,-0.4608679265676521,-0.8091666242446708,-0.503973168045318
215,0.6712578633905183,0.5094797629626657,0.4590990146783813
216,1.7225175254945337,0.06993096722688691,-0.4714251311228482
217,-0.8045489699478109,0.9490285586984446,3.549182888698937
218,-0.9561729596743516,2.70722374164156,0.6275447592887023
220,1.5001356738956075,-0.3696178285088919,0.6096000956539186
221,-0.9864977576196597,3.146772537377339,0.9978446357059151
223,1.2878620882784504,-0.8091666242446708,-0.7554634136973662
224,-0.9460646936925823,0.9490285586984446,0.841112601476655
225,-0.7843324379842722,-0.3696178285088919,-0.06711996657524033
226,-0.8045489699478109,0.06993096722688691,0.2699792712680194
227,-0.9258481617290435,0.06993096722688691,1.8190546176779192
228,-0.7641159060207334,0.5094797629626657,2.4823222038801966
229,-0.2081612770234176,0.06993096722688691,0.529911939207305
230,-0.8045489699478109,-0.8091666242446708,-0.7216387765431602
231,0.5903917355363633,-0.8091666242446708,-0.6119030937694939
233,-0.7438993740571946,0.06993096722688691,0.2607133816143204
234,-0.8955233637837353,-0.3696178285088919,0.2861580716105547
235,-0.9157398957472741,-0.8091666242446708,-0.7137074459760581
236,-0.6933580441483478,-0.8091666242446708,-0.04360824202422944
237,0.7116909273175959,-0.8091666242446708,-0.6049194281149838
238,1.6416513976403788,-0.8091666242446708,2.7647684997270483
240,0.23660242617443505,-0.3696178285088919,0.5884067252973345
241,0.7824487891899815,-0.8091666242446708,-0.7530667774132576
244,-0.6428167142395009,0.5094797629626657,0.4625825676692276
245,-0.18794474505987885,-0.8091666242446708,-0.7814018830285174
248,-0.7742241720025028,0.9490285586984446,1.878999127851866
249,-0.07675381926041569,-0.8091666242446708,-0.633583469049388
250,0.014220574575508719,-0.8091666242446708,-0.2614025643426064
251,-0.9460646936925823,-0.8091666242446708,-0.5365031398701688
252,0.09508670242966374,1.3885773544342235,1.2187529292263515
253,-0.9763894916378903,0.06993096722688691,2.272048231158092
254,-0.8854150978019659,-0.8091666242446708,0.4058777316682716
255,-0.12729514916926257,-0.8091666242446708,-0.7320570688824656
257,0.22649416019266566,-0.8091666242446708,-0.740846491586466
258,1.0250471727524466,-0.8091666242446708,-0.44067457141345995
259,0.7319074592811345,-0.8091666242446708,-0.7999795777923636
260,-0.754007640038964,-0.3696178285088919,-0.5405557434360109
261,2.0661985688746927,-0.8091666242446708,-0.8318720022137472
262,-0.05653728729687693,-0.8091666242446708,0.032456356924991506
263,-0.673141512184809,0.06993096722688691,0.16987454366243443
264,-0.9258481617290435,1.8281261501700024,2.446555568731958
265,1.3687282161326055,-0.8091666242446708,-0.4855460157616293
266,-0.8955233637837353,1.3885773544342235,0.3024264447287837
267,0.6712578633905183,-0.8091666242446708,-0.2843633034162406
268,0.7319074592811345,-0.3696178285088919,-0.3859011954329257
269,1.4799191419320687,-0.8091666242446708,0.3266803437069715
270,-0.5013009904947295,-0.8091666242446708,-0.5521716012049698
271,0.00411230859373934,0.5094797629626657,-0.6051474999724226
272,0.4994173417004389,-0.3696178285088919,-0.6967601262723184
273,-0.5316257884400377,-0.8091666242446708,-0.7283100665513433
274,-0.9056316297655047,0.9490285586984446,1.0959245669533806
275,0.7217991932993653,-0.8091666242446708,-0.592373217818651
276,-0.9258481617290435,-0.3696178285088919,-0.5935670196863007
277,1.6719761955856869,-0.8091666242446708,-0.07182065551816084
278,-0.9864977576196597,-0.3696178285088919,-0.6173775710604243
280,0.6712578633905183,-0.8091666242446708,-0.7120063159502773
281,0.07487017046612499,-0.3696178285088919,-0.5358354839706699
282,0.37811814991920634,-0.8091666242446708,-0.21718296893351938
283,-0.18794474505987885,0.5094797629626657,2.3428852424838404
284,-0.7034663101301172,-0.8091666242446708,0.5852227518420015
285,0.024328840557278096,-0.3696178285088919,-0.6789087989752325
286,-0.8247655019113497,0.5094797629626657,0.42093122697162877
288,-0.8045489699478109,-0.8091666242446708,-0.6903281988075859
289,-0.9561729596743516,0.06993096722688691,-0.6377587647365585
290,1.035155438734216,-0.3696178285088919,-0.4480481420915783
291,0.7217991932993653,-0.3696178285088919,-0.2507893194914969
292,-0.8550902998566579,-0.3696178285088919,-0.5466354014971748
294,-0.6428167142395009,-0.3696178285088919,-0.5631130286628229
295,-0.04642902131510755,-0.8091666242446708,0.06257162736811478
296,-0.6630332462030396,1.8281261501700024,0.7594884687352149
297,1.5001356738956075,-0.8091666242446708,-0.7224833198568442
299,0.5903917355363633,-0.3696178285088919,-0.6674713340452602
300,-0.9864977576196597,1.3885773544342235,1.2380110760005099
301,0.8835314490076752,-0.8091666242446708,-0.6530275357865412
302,0.00411230859373934,-0.3696178285088919,-0.6309745678682571
304,-0.7438993740571946,3.5863213331131174,1.1332538330456552
305,1.0755885026612935,-0.8091666242446708,-0.7555702988582781
306,-0.9056316297655047,2.70722374164156,2.0117316798944045
308,-0.2587026069322645,0.06993096722688691,1.216040153733912
310,-0.592275384330654,-0.3696178285088919,2.6919285207028034
312,-0.2081612770234176,-0.3696178285088919,-0.8187597521920219
313,-0.7641159060207334,-0.8091666242446708,1.0747078625123718
314,2.147064696728848,-0.8091666242446708,-0.798534369982851
315,-0.8247655019113497,0.5094797629626657,2.341674880943374
316,-0.17783647907810948,-0.8091666242446708,1.61952410905226
317,0.14562803233851063,-0.8091666242446708,-0.8437159318401449
318,-0.35978526674995825,0.9490285586984446,1.0995278012159522
319,0.9947223748071384,0.5094797629626657,0.27548987875418773
320,-0.9157398957472741,0.5094797629626657,-0.6982504968258785
321,-0.2688108729140339,0.5094797629626657,2.469645021626127
322,-0.8045489699478109,-0.8091666242446708,-0.8439741121936152
323,-0.04642902131510755,-0.8091666242446708,-0.08490279704385456
324,2.3290134844006967,-0.8091666242446708,-0.8544782137466104
325,1.5810018017497625,-0.8091666242446708,-0.8253045865168728
326,-0.38000179871349704,-0.3696178285088919,-0.25185741838821496
327,-0.8449820338748885,0.9490285586984446,3.596564628903734
328,0.45898427777336137,-0.8091666242446708,0.21842148266365116
329,-0.8550902998566579,-0.3696178285088919,0.6175013177249893
330,0.1153032343932025,-0.3696178285088919,-0.42245893131439266
331,-0.6630332462030396,1.3885773544342235,1.7181166374446621
332,-0.9056316297655047,0.06993096722688691,-0.4124230168746875
333,2.207714292619464,-0.8091666242446708,-0.5818457821812314
334,-0.8854150978019659,0.06993096722688691,0.9742425856668094
335,-0.23848607496872573,-0.8091666242446708,0.5557457815147466
336,-0.9864977576196597,3.5863213331131174,0.9037728979926452
337,-0.6630332462030396,-0.3696178285088919,2.3489475881597865
338,-0.7843324379842722,-0.3696178285088919,0.0985437530017687
340,-0.6933580441483478,-0.3696178285088919,1.2522870193938533
341,-0.6226001822759621,2.2676749459057812,0.12500912101347145
342,-0.8247655019113497,-0.3696178285088919,-0.471305449851123
343,-0.8045489699478109,-0.8091666242446708,-0.7177081123862458
344,-0.8247655019113497,0.5094797629626657,-0.7424031008312952
345,-0.7641159060207334,-0.8091666242446708,-0.6545073683664901
347,-0.673141512184809,-0.8091666242446708,-0.7236997030965174
348,1.1362380985519098,-0.8091666242446708,-0.8411040198094109
349,-0.8247655019113497,-0.3696178285088919,-0.40757931257561736
350,0.00411230859373934,-0.3696178285088919,0.837967769066163
351,-0.5013009904947295,-0.8091666242446708,-0.6986870700183354
352,-0.41032659665880516,-0.8091666242446708,-0.5948451253428385
353,-0.3496770007681889,-0.8091666242446708,-0.0837805028542798
354,1.146346364533679,-0.3696178285088919,-0.16358984599742057
355,-0.6832497781665784,-0.3696178285088919,-0.5489552611164031
357,-0.39011006469526643,0.06993096722688691,-0.18015855136356398
359,0.8936397149894446,-0.8091666242446708,-0.10736749864536962
361,-0.6327084482577315,-0.8091666242446708,0.5294309559832013
362,-0.9157398957472741,0.06993096722688691,-0.4432390625629444
363,-0.2081612770234176,0.06993096722688691,1.124779044125184
365,1.0958050346248323,0.06993096722688691,-0.5592305380995588
367,-0.7337911080754252,-0.3696178285088919,-0.40527224906720244
369,1.3080786202419894,-0.8091666242446708,-0.7961407445483454
370,-0.5215175224582683,0.5094797629626657,-0.2593408850768483
371,-0.6933580441483478,-0.8091666242446708,-0.6820302973012998
372,-0.8550902998566579,1.8281261501700024,2.37000622299663
374,0.7723405232082121,2.2676749459057812,2.4446218505743342
375,-0.8348737678931191,0.9490285586984446,-0.5624175224044947
376,2.76366892161678,-0.8091666242446708,-0.6287563244231352
377,-0.8854150978019659,2.2676749459057812,0.8226335120373123
378,0.00411230859373934,0.9490285586984446,0.9161595332600108
380,2.642369729835547,-0.8091666242446708,-0.36790534735488856
381,-0.9864977576196597,-0.8091666242446708,-0.7907400330726921
382,0.9643975768618303,-0.3696178285088919,-0.37222817467261354
383,1.9550076430752295,-0.8091666242446708,-0.5529709817746067
384,-0.2688108729140339,-0.8091666242446708,-0.6726244031410543
385,-0.9056316297655047,-0.8091666242446708,-0.6290988085654937
386,2.7030193257261637,-0.3696178285088919,-0.2721866749086947
388,-0.7742241720025028,2.70722374164156,0.5856548087600538
389,0.6005000015181327,-0.8091666242446708,-0.5529544221017892
390,1.7730588554033806,-0.8091666242446708,-0.7661188104429199
391,2.2380390905647722,0.06993096722688691,-0.42839858486901
392,0.7925570551717509,0.9490285586984446,2.3328688985665558
393,-0.6327084482577315,-0.3696178285088919,-0.6929220457407009
394,0.2163858942108963,-0.8091666242446708,-0.6068825020562386
395,-0.5013009904947295,0.5094797629626657,2.011197254089845
396,-0.8449820338748885,-0.8091666242446708,-0.7507875642636719
397,-0.9864977576196597,0.9490285586984446,0.5099387156523978
398,-0.2587026069322645,-0.8091666242446708,-0.8425018067376739
399,-0.9258481617290435,-0.3696178285088919,2.7781923726827
400,1.409161280059683,-0.8091666242446708,-0.766984429703826
401,-0.8348737678931191,1.3885773544342235,-0.2546943914267845
403,-0.5013009904947295,0.5094797629626657,0.05600345895883951
404,-0.5013009904947295,-0.8091666242446708,-0.7797052692771415
405,1.035155438734216,-0.8091666242446708,-0.7954490018520214
406,-0.2688108729140339,1.3885773544342235,0.32952484386954894
407,-0.8550902998566579,1.8281261501700024,2.1618789860415717
408,0.38822641590097573,0.06993096722688691,-0.7336031401536839
409,-0.7843324379842722,0.9490285586984446,1.0080401251745874
410,2.692911059744394,-0.8091666242446708,0.3092655896023425
412,-0.6933580441483478,1.8281261501700024,0.8038149493052137
413,1.3687282161326055,-0.8091666242446708,0.05310852706540916
414,-0.3496770007681889,3.146772537377339,3.3579133986719256
415,-0.43054312862234395,0.06993096722688691,-0.3717893433429541
417,-0.4608679265676521,0.5094797629626657,0.10431404626620876
418,-0.7438993740571946,-0.8091666242446708,-0.7726455796701518
419,2.652477995817317,-0.8091666242446708,-0.8398996799681502
420,-0.17783647907810948,0.5094797629626657,-0.1774706153803503
421,-0.8854150978019659,-0.8091666242446708,-0.7363076358097148
422,-0.6933580441483478,0.5094797629626657,-0.14725598690032307
423,0.2972520220650513,0.06993096722688691,1.6058217325083168
424,2.652477995817317,-0.8091666242446708,-0.6668435719030033
426,-0.47097619254942147,-0.3696178285088919,-0.6893820393197954
428,-0.3193522028228808,-0.3696178285088919,-0.5775891935547758
429,1.1766711624789872,-0.8091666242446708,-0.7856818057393975
430,-0.6630332462030396,-0.3696178285088919,-0.4568902546636338
431,2.1167398987835395,-0.8091666242446708,-0.33602270819471525
432,-0.8955233637837353,-0.3696178285088919,-0.28270808884690796
433,-0.9157398957472741,-0.8091666242446708,-0.8478859585405099
434,-0.3395687347864195,0.06993096722688691,0.3857088028891597
436,-0.3092439368411114,-0.8091666242446708,0.4443353136493271
437,-0.24859434095049512,1.3885773544342235,1.8889695563127031
438,-0.5013009904947295,1.8281261501700024,0.7600996712046546
439,-0.8449820338748885,1.3885773544342235,-0.15805665713922867
440,1.0048306407889078,-0.3696178285088919,-0.5086663298642305
441,-0.8955233637837353,2.2676749459057812,0.9638408530003215
442,-0.3395687347864195,-0.8091666242446708,-0.8326472959865587
443,0.6611495974087489,-0.8091666242446708,-0.5053897727836009
444,0.07487017046612499,-0.3696178285088919,-0.6115598569147347
445,2.713127591707933,-0.8091666242446708,-0.14421728693834224
446,0.2568189581379738,0.5094797629626657,0.4759853646776572
448,-0.8955233637837353,-0.3696178285088919,-0.27929830167133884
449,-0.9561729596743516,-0.8091666242446708,-0.7362037614984062
450,-0.5619505863853459,0.9490285586984446,1.2768555521555707
451,-0.7135745761118866,1.8281261501700024,0.8322704889045998
452,-0.3395687347864195,-0.8091666242446708,-0.8457971816283234
453,-0.9460646936925823,-0.3696178285088919,-0.6824668704937569
454,-0.3193522028228808,-0.8091666242446708,-0.11429170002021755
455,2.2380390905647722,-0.8091666242446708,-0.7274482108524413
456,-0.6428167142395009,2.70722374164156,1.3320286184209231
457,1.227212492387834,0.5094797629626657,-0.42986261048854246
458,-0.12729514916926257,0.5094797629626657,-0.053170700363838905
459,1.3687282161326055,0.06993096722688691,-0.08220206494982762
460,0.2972520220650513,3.146772537377339,2.3843408779572344
461,-0.6226001822759621,-0.3696178285088919,-0.5822575158644623
462,-0.06664555327864631,-0.8091666242446708,-0.6091730058918363
464,-0.2688108729140339,0.9490285586984446,2.265018650047134
465,-0.7438993740571946,-0.3696178285088919,1.7287456892561888
467,1.166562896497218,-0.3696178285088919,-0.5013785683998021
468,-0.43054312862234395,1.3885773544342235,1.0777345190759402
469,1.6012183337133012,-0.8091666242446708,-0.8225195506339575
470,-0.3395687347864195,-0.8091666242446708,0.04703263256624925
471,0.8936397149894446,-0.8091666242446708,-0.6784451281363472
472,0.6813661293722877,0.06993096722688691,0.7080036932337231
473,-0.5013009904947295,2.70722374164156,0.022303772063164175
474,0.17595283028381878,-0.8091666242446708,-0.7114455452116905
475,0.8835314490076752,-0.3696178285088919,-0.5888475129333606
476,-0.9056316297655047,0.9490285586984446,-0.3426819548044858
477,-0.5417340544218071,-0.3696178285088919,-0.6348532948695172
479,-0.03632075533333817,0.06993096722688691,-0.3640687722480726
480,1.5102439398773768,-0.8091666242446708,-0.8338350761550021
481,-0.5215175224582683,-0.3696178285088919,-0.5868520723588718
483,-0.05653728729687693,-0.8091666242446708,-0.8170360407942175
484,-0.9763894916378903,2.2676749459057812,1.0096629731106859
486,-0.4608679265676521,-0.8091666242446708,-0.7338342228607257
487,-0.6226001822759621,0.06993096722688691,-0.7715609211006164
490,-0.38000179871349704,-0.8091666242446708,-0.5604996112072872
491,0.2871437560832819,-0.8091666242446708,-0.1273708306963082
492,2.1874977606559254,1.3885773544342235,1.148386363151095
493,-0.8146572359295803,-0.8091666242446708,-0.6563823749568528
494,2.662586261799086,-0.8091666242446708,-0.7087523402416712
495,-0.4608679265676521,-0.8091666242446708,-0.7935416286284248
498,2.692911059744394,-0.8091666242446708,1.304790967486012
499,-0.4911927245129602,1.8281261501700024,-0.2096159511683985
501,-0.9561729596743516,-0.3696178285088919,1.0812925905944646
502,-0.6933580441483478,-0.8091666242446708,-0.674878776781414
504,0.3579016179556676,0.06993096722688691,-0.09708243640100375
506,-0.2587026069322645,-0.3696178285088919,-0.40234570325293906
507,-0.4810844585311908,0.06993096722688691,0.7695341684361302
508,-0.2688108729140339,-0.8091666242446708,-0.322473884980533
509,-0.5013009904947295,-0.8091666242446708,0.02524612483784424
511,-0.9157398957472741,-0.3696178285088919,0.4814063993881314
512,0.8936397149894446,-0.8091666242446708,-0.6278169393469518
513,-0.2587026069322645,0.9490285586984446,-0.21244840793256334
514,2.581720133944931,-0.8091666242446708,-0.4375907087074319
515,0.7925570551717509,-0.8091666242446708,-0.851367253394154
517,2.7030193257261637,-0.8091666242446708,-0.784672418409941
518,-0.8449820338748885,1.3885773544342235,2.0645683268677115
520,-0.8753068318201965,0.5094797629626657,-0.04754869144235401
521,2.076306834856462,-0.8091666242446708,-0.7599352780704473
522,0.09508670242966374,-0.3696178285088919,-0.6327758086433425
523,-0.7843324379842722,-0.8091666242446708,0.02530032013070092
524,0.610608267499902,-0.8091666242446708,-0.8334263533213743
525,-0.9763894916378903,1.8281261501700024,0.8317556336224607
526,1.702300993530995,-0.8091666242446708,-0.24957368896422444
527,-0.10707861720572383,-0.3696178285088919,-0.23073706113450715
528,-0.4507596605858827,0.5094797629626657,0.5970282931359593
529,-0.03632075533333817,-0.8091666242446708,-0.8345328405505325
530,-0.6124919162941928,-0.3696178285088919,-0.18476891481838978
531,0.2871437560832819,-0.8091666242446708,-0.7121719126784507
532,-0.8854150978019659,2.2676749459057812,1.8469599245123294
533,-0.7742241720025028,2.2676749459057812,0.3779483380370365
534,-0.9157398957472741,-0.3696178285088919,-0.6188596617775758
536,-0.9763894916378903,0.06993096722688691,-0.17549022905387737
538,1.227212492387834,-0.8091666242446708,-0.6171081000209423
539,-0.3193522028228808,-0.8091666242446708,-0.8589771757661196
540,-0.9157398957472741,0.5094797629626657,1.1846821551170879
542,0.2163858942108963,0.06993096722688691,0.2124389245021888
543,1.6416513976403788,-0.3696178285088919,-0.33124373716211286
544,-0.4608679265676521,1.8281261501700024,0.26575279113759537
545,-0.6428167142395009,0.06993096722688691,0.7603796802177477
546,-0.9561729596743516,0.06993096722688691,-0.45735693635212227
547,-0.7843324379842722,0.06993096722688691,0.32358217946532836
549,-0.754007640038964,-0.8091666242446708,-0.6284590030248239
550,0.37811814991920634,-0.8091666242446708,-0.7412070408264433
552,1.490027407913838,-0.8091666242446708,-0.8620520059233383
