rating,date,variation,verified_reviews,feedback,processed_reviews
5,30-Jul-18,Charcoal Fabric ,"""I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.""",1,still learning use far echo great sound actually much better expecting
5,29-Jul-18,Charcoal Fabric ,Nice product A+,1,nice product
5,30-Jul-18,Black  Show,I love it. It does everything.,1,love everything
2,30-Jul-18,Configuration: Fire TV Stick,"""It's constantly buffering, to the point where you can't watch anything without interruption. I purchased on Prime Day plus I used rewards to pay for it, so in the end I paid next to nothing. If I had paid full price for it I might want my money back. We stopped trying to use it and went back to our old streaming device. I know our internet service is not the issue because we do not have this problem with any other devices that we stream from.""",0,constantly buffering point not_watch anything without interruption purchased prime day plus used reward pay end paid next nothing_if paid full price might want money back stopped trying use went back old streaming device know internet service not_the issue not_have problem device stream
5,30-Jul-18,Configuration: Fire TV Stick,WooHoo! $20 on Prime Day; done!,1,woohoo prime day done
3,26-Jul-18,Black  Plus,"""Mic hears everything but only understands about half the first time, it often takes multiple tries until it gives the correct result.""",2,mic hears everything understands half first time often take multiple try give correct result
5,26-Jul-18,Black  Plus,"""Bye bye Philips hub and expensive monthly internet charge!  Took a little tinkering, had to rest the individual bulbs, but works great! No more, &#34;Philips hue bridge is not responding&#34; message.""",1,bye bye philip hub expensive monthly internet charge took little tinkering rest individual bulb work great no_more philip hue bridge not_responding message
5,30-Jul-18,Black  Dot,neat tool we enjoy it with the family,1,neat tool enjoy family
5,29-Jul-18,Heather Gray Fabric ,bought for my wife she loves it,1,bought wife love
4,30-Jul-18,Sandstone Fabric ,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,1,listening talk radio morning turning light etc system excellent job full house sound system streaming sirius
5,30-Jul-18,Black  Dot,"""Been debating on getting one, but am happy I did! Still more to explore. Thanks!""",1,debating getting one happy still explore thanks
5,16-May-18,Black,Perfect condition!,1,perfect condition
5,29-Jul-18,Charcoal Fabric ,I having it in my living room. Music sounds really good in my living room . I can hear it upstairs.,1,living room music sound really good living room hear upstairs
5,30-Jul-18,White  Dot,I love it.,1,love
5,25-Jul-18,White  Spot,Excellent purchase!!,1,excellent purchase
5,29-Jul-18,White  Spot, ,1,no_review
4,3-Jul-18,White  Plus,"""Was debating between a 4 and a 5 star review. The one challenge with the hub is that Phillips has added functionality that only works with their hub. Basic functionality works with this unit, but now I need two apps to set everything how I want it instead of one, which has caused some user issues. It's woken up a couple times without the trigger word, which I find highly unsettling. We have minor issues with it not always picking up what we say correctly, but it's usually just one or two repeats if that happens.The speaker is great quality and easily covers the kitchen/living room. The sleek design is not obtrusive. My girlfriend has had fun interacting with it and we've had entertaining conversations with it.""",1,debating star review one challenge hub phillips added functionality work hub basic functionality work unit need two apps set everything want instead one caused user issue woken couple time without trigger word find highly unsettling minor issue not_always picking say correctly usually one two repeat happensthe speaker great quality easily cover kitchenliving room sleek design not_obtrusive girlfriend fun interacting entertaining conversation
5,22-Jul-18,White  Spot,Awesome cute and smart!,1,awesome cute smart
5,28-Jul-18,Black  Show,I bought this after visiting a friend who had one and it is great.  I understand the frustration of not having YouTube though.  Still good to have-love seeing the words to songs and if you have the Ring doorbell-you never have to get up from your chair...laziness at it's best!  LOL  All in all- a great product with good speakers.,1,bought visiting friend one great understand frustration not_having youtube though still good havelove seeing word song ring doorbellyou never_have get chairlaziness best lol great product good speaker
5,18-Jul-18,White,Great product and works great,1,great product work great
5,28-Jul-18,Black  Show,"""Love how it shows the song info on the screen if playing... also time, notifications, news, etc!""",1,love show song info screen playing also time notification news etc
5,17-May-18,Black,"""Amazingly fun. My daughter and I just asked questions on the first day. I have now set my daily alarm, weekend reminder, playlist, morning shows, random songs, daily bible verses, weather, and morning commute. It tells me which way to go dodging traffic. You have to get one. I don’t have it linked to my phone yet.""",1,amazingly fun daughter asked question first day set daily alarm weekend reminder playlist morning show random song daily bible verse weather morning commute tell way go dodging traffic get one not_have linked phone yet
4,30-Jul-18,Black  Dot,"""I had some trouble with my echo dot when I first got it because of internet connection issues. After doing research online I saw from some other people that they had trouble with the 2nd generation Echo Dot. However, the same weekend I took a trip and brought my Echo Dot along to the hotel where it seemed to work just fine. Now back home, the internet connection has seemed to have gotten through it's little rough patch and I haven't had any problems since. So, if you are having connection issues with an Echo Dot then it is probably the internet and not the device.""",1,trouble echo dot first got internet connection issue research online saw people trouble nd generation echo dot however weekend took trip brought echo dot along hotel seemed work fine back home internet connection seemed gotten little rough patch not_had problem since connection issue echo dot probably internet not_the device
5,30-May-18,Black,"""This device works perfectly and was a good price.  We love Alexa and are having great fun with her.  The music is great and we get the radio stations we need for our morning traffic report.  I didn’t think I would enjoy having AI in the house, but it is fun, educational and entertaining even for people who aren’t tech savvy.""",1,device work perfectly good price love alexa great fun music great get radio station need morning traffic report not_think would enjoy ai house fun educational entertaining even people not_tech savvy
5,30-Jul-18,Black  Show,I already had purchased the Echo and a couple of Dots and hesitated to purchase this until the price dropped.  I am very glad I did.  The versatility of the video screen is outstanding.  No regrets!,1,already purchased echo couple dot hesitated purchase price dropped glad versatility video screen outstanding no_regrets
5,20-Jul-18,White  Plus,Sounds a little better than the original plus it now has an interrogated Zigbee hub.  The hub is compatible with the GE Link bulbs.,1,sound little better original plus interrogated zigbee hub hub compatible ge link bulb
4,29-Jul-18,Sandstone Fabric ,"""it's great for music, a little hard to figure out how it works.""",1,great music little hard figure work
4,29-Jul-18,Sandstone Fabric ,"""Love my new addition to the house! Speaker quality is great and over all we love our Alexa. My only two ( not complaints, more suggestions for the future series) would be better communication ability. Example: For our smart lights in the house. Unless we specify kitchen Light 1 or kitchen Light 2 prior to the command she either won’t respond or says she doesn’t recognize. It may be me, but I want my Alexa to respond when I say thank you afterwards. I have to repeat Alexa thank you and there are times she won’t respond to me, but will my husband. I know it sounds odd. We laugh about it, but maybe it’s a Southern thing but I want my Alexa to have manners too.""",1,love new addition house speaker quality great love alexa two not_complaints suggestion future series would better communication ability example smart light house unless specify kitchen light kitchen light prior command either not_respond say not_recognize may want alexa respond say thank afterwards repeat alexa thank time not_respond husband know sound odd laugh maybe southern thing want alexa manner
4,30-Jul-18,Black  Dot,My son loves his Echo Dot.,1,son love echo dot
5,29-Jul-18,White  Plus,"""I purchased the Amazon Echo Plus on Amazon prime day because I need a hub. I'm in the process of upgrading my home into a smart home. For the same price as some hub's, and even less expensive in some other cases. I got a hub that works with my devices, plus it does a lot more. I haven't even had time to go through all the skills it has, but I've already found myself using many of them. When I started a search for a hub. I wasn't even considering the Echo. In part, because I didn't know it was a hub. But also because I didn't really think I would find much use for another AI system. If you're looking for a hub. Why settle for a plane hub, when you can get a personal assistant that does so much more and yet cost's the same or less than other hubs? Oh! And by the way. For the same price as the Amazon Echo Plus alone. I found one that came bundled with a smart bulb & saw another that came with a smart plug. Given the price of these extras. Well, that just put the Echo Plus over the top.""",1,purchased amazon echo plus amazon prime day need hub process upgrading home smart home price hub even less expensive case got hub work device plus lot not_even time go skill already found using many started search hub not_even considering echo part not_know hub also not_really think would find much use another ai system looking hub settle plane hub get personal assistant much yet cost less hub oh way price amazon echo plus alone found one came bundled smart bulb saw another came smart plug given price extra well put echo plus top
5,28-Jul-18,White  Plus,Comes with a hub.  Got it during prime day for $99 and a hue white bulb.  Works great.  Now I can add more stuff that required a hub!,1,come hub got prime day hue white bulb work great add stuff required hub
5,28-Jul-18,White  Show,Super easy set up! Great features! FUN!,1,super easy set great feature fun
5,30-Jul-18,Black  Dot,We put one in the bedroom.  It plays music and tells us the weather.  It also is an alarm to wake us up in the morning.  It is better than a clock radio.  It will play any type of music you want from radio stations or your own favorites.  It can even tell jokes.  I don't know how I got along without it before now.  Amazing.,1,put one bedroom play music tell u weather also alarm wake u morning better clock radio play type music want radio station favorite even tell joke not_know got along without amazing
5,30-Jul-18,Black  Dot,"""I have had the echo dot for about two weeks and am having fun with it. I set morning alarms, check the weather, have Alexa play various music (I bought inexpensive speakers to connect for better sound), and I'm learning her skills. A little tricky to connect to wifi initially, but after some trial and error it connected, and has stayed connected. So far, super satisfied. Will be buying one for my mother and one for my office.""",1,echo dot two week fun set morning alarm check weather alexa play various music bought inexpensive speaker connect better sound learning skill little tricky connect wifi initially trial error connected stayed connected far super satisfied buying one mother one office
5,29-Jul-18,Black  Show,I loved talking it out of the box and being able to easily set up.,1,loved talking box able easily set
5,30-Jul-18,Sandstone Fabric ,"""Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.""",1,love echo love size material speaker quality hooked one light easily work additional light thermostat next echo dot bedroom lot echo think traffic weather trivia etc
1,28-Jun-18,Black,Does not work all the time,0,not_work time
2,30-Jul-18,Configuration: Fire TV Stick,I don’t like that it goes into sleep mode after 20-30 minutes of “inactivity”. I shouldn’t have to “wake up” the fire tv to finish watching a show.,0,not_like go sleep mode minute inactivity not_have wake fire tv finish watching show
5,30-Jul-18,Black  Dot,We put one in the bedroom.  It plays music and tells us the weather.  It also is an alarm to wake us up in the morning.  It is better than a clock radio.  It will play any type of music you want from radio stations or your own favorites.  It can even tell jokes.  I don't know how I got along without it before now.  Amazing.,1,put one bedroom play music tell u weather also alarm wake u morning better clock radio play type music want radio station favorite even tell joke not_know got along without amazing
4,30-Jul-18,Charcoal Fabric ,"""Great device, responsive and helpful""",1,great device responsive helpful
5,30-Jul-18,White  Dot,"""I love my echo dot. Has many features and works great.The only thing I don't like about it, is that I can't play my iMusic on it. I'm going to have to pay for a Spotify or Amazon music account.""",1,love echo dot many feature work greatthe thing not_like not_play imusic going pay spotify amazon music account
5,29-Jul-18,Charcoal Fabric ,I really love my amazon echo. I think the sound quality is great and we have a lot of fun with it. It is really handy for music and to get updates on the weather and sports!,1,really love amazon echo think sound quality great lot fun really handy music get update weather sport
4,28-Jul-18,Black  Plus,"""I love everything about it. I love that the echo plus turns on and off my light. It can also dim them with voice commands. I also like listening to my kindle books even the ones that I didn’t purchased  audibles for. I like that it can play my music from Amazon music, pandora, tunein, I heart radio and Spotify. Echo can even play my local radio station. I love that the echo is connected to my TiVo Bolt. This allows TiVo to pause, stop and play whatever I want with a simple voice command. I love that I can reorder items that I purchased on Amazon and that the echo plus notifies me when my order is mailed, when it will be delivered and when the package has been delivered.  The only three dislikes that I have is that if you’re up too close or to far the echo doesn’t respond. So I think they need to improve the microphone. And I wish the speaker was better. The speakers are okay but could be improved. Also I have the echo dot and it never has given me any problems with the internet. Well the other day I received a Red Light Right on my Echo Plus. This error was Sorry I’m having trouble understanding you please try again later. After research online I learned it was a problem connecting to my internet. And it was easy to find this out. And I found it odd that my dot wasn’t having this problem even though they are connected to the same network.""",1,love everything love echo plus turn light also dim voice command also like listening kindle book even one not_purchased audible like play music amazon music pandora tunein heart radio spotify echo even play local radio station love echo connected tivo bolt allows tivo pause stop play whatever want simple voice command love reorder item purchased amazon echo plus notifies order mailed delivered package delivered three dislike close far echo not_respond think need improve microphone wish speaker better speaker okay could improved also echo dot never_has given problem internet well day received red light right echo plus error sorry trouble understanding please try later research online learned problem connecting internet easy find found odd dot not_having problem even though connected network
5,30-Jul-18,Walnut Finish ,"""Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more""",1,great fun getting know function product wow family fun homework help talking grandchildrenwho also echo huge bonus not_wait learn
1,25-Jul-18,White,It worked for a month or so then it stopped. I've tried everything to try and make it work but nothing is working. I want a refund,0,worked month stopped tried everything try make work nothing_is working want refund
5,25-Jul-18,Black  Plus,It has great sound and very responsive to commands!,1,great sound responsive command
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1,let u play learn get
5,29-Jul-18,Sandstone Fabric ,"""This is our third echo. Worth every penny. It's like having 3 household employees for a small flat rate. We keep them in the bedrooms and the living room. We can drop-in and use them as an intercom, listen to music, answer quick questions, alarms to wake up for school, etc.""",1,third echo worth every penny like household employee small flat rate keep bedroom living room dropin use intercom listen music answer quick question alarm wake school etc
3,30-Jul-18,Black  Dot,"""I like the Echo, but not sure about the Dot.  I use it a lot for music and Audio books.The sound quality of this smaller Echo is nowhere near the quality of the full sized model.  I haven't decided if I'll keep it or not!""",2,like echo not_sure dot use lot music audio booksthe sound quality smaller echo nowhere_near quality full sized model not_decided keep
5,2-Jul-18,White,"""Works great, never had any issues.""",1,work great never_had issue
5,30-Jul-18,Black  Plus,To have ability to play Amazon Music outside for patio gatherings. I also used blue tooth to connect Echo Plus via Alexa App on my tablet to an external speaker when/if the party extends into the yard. I have plans to connect other devices such as thermostat and other lighting and home devices.,1,ability play amazon music outside patio gathering also used blue tooth connect echo plus via alexa app tablet external speaker whenif party extends yard plan connect device thermostat lighting home device
5,30-May-18,Black,I bought three of these and all three have worked flawlessly. If they weren't labeled as refurbished I wouldn't have known,1,bought three three worked flawlessly not_labeled refurbished would not_have known
4,29-Jul-18,Sandstone Fabric ,The sound quality is good just wish alexa could answer more questions,1,sound quality good wish alexa could answer question
5,29-Jul-18,Charcoal Fabric ,Mainly use it for the music but I’m learning more all the time.  Really nothing bad to say about it,1,mainly use music learning time really nothing_bad say
5,30-Jul-18,Configuration: Fire TV Stick,Simple install and love the voice activation,1,simple install love voice activation
1,30-Jul-18,Configuration: Fire TV Stick,Garbage...Even trying to watch Amazon Prime Video this piece of garbage looses internet connection half way thru a show. The cheapest Roku works 100 time better. DO not waste your time or money on this piece of garbage.,0,garbageeven trying watch amazon prime video piece garbage loos internet connection half way thru show cheapest roku work time better not_waste time money piece garbage
5,29-Jul-18,Black  Plus,The speakers on these devices are surprisingly good. The functionality of each echo device is fantastic.,1,speaker device surprisingly good functionality echo device fantastic
5,4-Jul-18,White  Plus,"""Besides being fun, it also has many practical aspects--a real bonus for those with vision issues!""",1,besides fun also many practical aspectsa real bonus vision issue
4,31-Jul-18,White  Show,Very pleasedSimple to figure out,1,pleasedsimple figure
5,27-May-18,Black,Working great and my daughter loves it!,1,working great daughter love
2,23-Jul-18,Black  Spot,"""For as awesome as the Echo and Echo Dots are, the Spot is a disappointment. There is very little control over what the screen shows, what the clock looks like, what order things show up in, etc. At this point if I hadn't thrown the box away immediately, I would have sent it back and just got another full size Echo.""",0,awesome echo echo dot spot disappointment little control screen show clock look like order thing show etc point not_thrown box away immediately would sent back got another full size echo
5,30-Jul-18,White  Dot,"""Alarm,bed time story, universal""",1,alarmbed time story universal
4,19-Jul-18,White  Spot,"""Bought this to replace a Sony Dash (remember those?) after Sony decided to pull support from it entirely. It works great for what I use it for: an alarm clock, a weather station, background music player and voice control of lights throughout my house. My biggest gripe about the device and why I knocked a star off is that you can't turn off the suggestions on &#34;Things to Try&#34;. It 's an annoying and a stupid design decision since you have control to turn off other things you don't want to see as it cycles through content screens. A software update or two would help this improve especially full control of what we want and don't want to see in the content rotation.""",1,bought replace sony dash remember sony decided pull support entirely work great use alarm clock weather station background music player voice control light throughout house biggest gripe device knocked star not_turn suggestion thing try annoying stupid design decision since control turn thing not_want see cycle content screen software update two would help improve especially full control want not_want see content rotation
5,30-Jul-18,Black  Dot,Great item.  I'm so glad I made the purchase and on Prime day.,1,great item glad made purchase prime day
5,30-Jul-18,Black  Show,Just like any other echo. Doesn’t disappoint,1,like echo not_disappoint
2,19-Jul-18,Black  Spot,"""It's not as good as Siri, BUT it still has some positives, it's great at playing music, and setting alarms. I personally felt that I paid too much for this product, as it was nearly half off on prime day (literally the day after I purchased it). So I'm pretty disappointed. I might still return it and get my money back. .""",0,not_as good siri still positive great playing music setting alarm personally felt paid much product nearly half prime day literally day purchased pretty disappointed might still return get money back
2,24-Jul-18,Black  Spot,"""I wanted to use this as a bedside clock with the ability to play music and podcasts. Sadly, it continuously scrolls the &#34;Things to try&#34; and won't stay on the clock face. Amazon is about to get this one back.""",0,wanted use bedside clock ability play music podcasts sadly continuously scroll thing try not_stay clock face amazon get one back
5,28-Jul-18,Black  Show,"""Easy to set up. Plug it in then make some selections for your preferences such as language, temp C or F etc. I am getting more familiar with it and will be adding my calendar and appointments.""",1,easy set plug make selection preference language temp c f etc getting familiar adding calendar appointment
5,30-Jul-18,Black  Show,"""I'm loving my new Echo Show. The video screen adds so much more value and potential. Movies, tv shows, song lyrics, all extra features that are available with the Echo Show. Oh, it also has a built in camera for taking pics.""",1,loving new echo show video screen add much value potential movie tv show song lyric extra feature available echo show oh also built camera taking pic
5,29-Jul-18,Charcoal Fabric ,the best,1,best
5,30-Jul-18,Configuration: Fire TV Stick,I have used Roku & Mi Tv box. This fire TV stick is very similar. Easy to use.,1,used roku mi tv box fire tv stick similar easy use
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1,bought compare speaker quality first generation speaker like sound better ship daughter though like fact first generation chargeable base bought keep mobile need better sound
5,31-Jul-18,Black  Dot,"""Love it , this time it's a gift  for friend""",1,love time gift friend
5,26-Jul-18,Black,I Love it!!!!,1,love
2,26-Jul-18,Black  Plus,"""When I got this Echo I was excited to have a device with better sound than my Dot and a hub to control some Hue bulbs.What I didn't realize and also wasn't fully communicated to me, is that you can't use Hue bulbs to their full potential with this device. You can only turn on and off the lights and set them to a number of preset colors. You also cannot update the bulbs to the newest firmare which is a security concern for me.Do not buy this if you want a full featured hub for your new IoT devices. If you do, you will end up needing to update to a standalone hub, which makes the hub inside this device redundant and pointless.I still love the echo and have zero complaints about the Alexa functionality or sound quality of this device. I'm only disappointed with the hub's functionalities.""",0,got echo excited device better sound dot hub control hue bulbswhat not_realize also not_fully communicated not_use hue bulb full potential device turn light set number preset color also not_update bulb newest firmare security concern medo not_buy want full featured hub new iot device end needing update standalone hub make hub inside device redundant pointlessi still love echo zero complaint alexa functionality sound quality device disappointed hub functionality
4,30-Jul-18,White  Dot,I like almost everything,1,like almost everything
5,30-Jul-18,Black  Show,Tremendous way to communicate with friends and family all across the country,1,tremendous way communicate friend family across country
5,15-Jul-18,White,Just as good as the new one I bought but $10.00 less.,1,good new one bought less
5,30-Jul-18,Heather Gray Fabric , ,1,no_review
5,30-Jul-18,White  Dot,"""I love my echo dot. Has many features and works great.The only thing I don't like about it, is that I can't play my iMusic on it. I'm going to have to pay for a Spotify or Amazon music account.""",1,love echo dot many feature work greatthe thing not_like not_play imusic going pay spotify amazon music account
5,29-Jul-18,Heather Gray Fabric ,Easy to setup. Love all the things she does.,1,easy setup love thing
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1,love echo still learning every thing work ton fun
4,30-Jul-18,White  Show,Only problem is my slow internet. I really like the speaker on it. Having tons of fun with it,1,problem slow internet really like speaker ton fun
5,31-Jul-18,Configuration: Fire TV Stick,We love it! Finally got one for everyone in the home. Most importantly we’re saving money that would have otherwise gone to cable.,1,love finally got one everyone home importantly saving money would otherwise gone cable
4,30-Jul-18,White  Dot,Overall I like this. Though Siri on my phone can do more for what I need as I don’t have a “smart home” and don’t intend to make it one. But it’s fun and I use it for music and to have it read me my audible books.,1,overall like though siri phone need not_have smart home not_intend make one fun use music read audible book
2,20-Jul-18,White  Plus,"""At a volume setting of half or less, the speaker sounds like there is something rattling, crackling or vibrating in it.  I'd understand if the volume was set higher.  All speakers get distorted when over-driven.  But this doesn't sound like this is an over-driven case; sounds like more of a rattle/crackle.  Possibly because the bass is too high.  Learned that there is no ability to adjust any of the sound characteristics (other than volume).  I will attempt to exchange it assuming it is just an isolated problem.""",0,volume setting half less speaker sound like something rattling crackling vibrating would understand volume set higher speaker get distorted overdriven not_sound like overdriven case sound like rattlecrackle possibly bass high learned no_ability adjust sound characteristic volume attempt exchange assuming isolated problem
2,30-Jul-18,Charcoal Fabric ,"""It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.""",0,like siri fact siri answer accurately alexa not_see real need household though good bargain prime day deal
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1,speaker better st generation echo
5,29-Jul-18,Charcoal Fabric ,plays great,1,play great
5,30-Jul-18,Configuration: Fire TV Stick,Great ! It was the best decision ! Especially if you have Amazon Prime.,1,great best decision especially amazon prime
5,30-Jul-18,Black  Show,Love it l. I plan on getting an echo for the kitchen.,1,love l plan getting echo kitchen
5,28-Jul-18,Black  Show,We are very pleased with this item. The display is clean and crisp and easy to read. We enjoy trying the suggested things to try asking Alexa. We use the timer feature quite a bit and have added our calendars and contacts. We are still exploring the many skills available.,1,pleased item display clean crisp easy read enjoy trying suggested thing try asking alexa use timer feature quite bit added calendar contact still exploring many skill available
5,30-Jul-18,Charcoal Fabric ,This is great item and just added audible books which makes it even better. Thank you!,1,great item added audible book make even better thank
5,30-Jul-18,Configuration: Fire TV Stick,Upgraded from a first generation firestick. I don't know why I waited so long. I love it!,1,upgraded first generation firestick not_know waited long love
5,30-Jul-18,Configuration: Fire TV Stick,I loved everything,1,loved everything
5,30-Jul-18,Black  Dot,Love it.  It works great.  Alexa still has some problems  but it is getting better every day.  I'm not an expert but I think the sound quality is fine.  Not perfect but good.,1,love work great alexa still problem getting better every day not_an expert think sound quality fine not_perfect good
5,17-Jul-18,Black  Spot,"""I’ve had this for a little over 3 weeks now and I absolutely love it! It’s so easy to use. I’m basically using it as a smart alarm but it can do way more. The screen quality is great and it looks super cute sitting on my night stand. I don’t know how I lived without it so long. If you can’t decide whether to buy it or not, GO FOR IT! You won’t regret it!!""",1,little week absolutely love easy use basically using smart alarm way screen quality great look super cute sitting night stand not_know lived without long not_decide whether buy not_go not_regret
5,30-Jul-18,Black  Show,I love it it is awesome,1,love awesome
5,28-Jul-18,Black  Plus,"""It's fun to imagine the household management options ...Some info questions baffle Alexa, but other options are cool - esp. music-related ...""",1,fun imagine household management option info question baffle alexa option cool esp musicrelated
2,30-Jul-18,Black  Dot,Sound is terrible. Cannot pair with echo to play simultaneously.  Must upgrade to amazon music if you want to play more than one device at a time.,0,sound terrible not_pair echo play simultaneously must upgrade amazon music want play one device time
4,30-Jul-18,Black  Spot,"""I love this little Spot more than I thought I would. The sound is great for such a little thing...my music plays nice and loud and clear. The video is terrific...I was watching some Prime shows just for the heck of it, and I was really impressed. Immediately convinced my mom to buy my sister one for her birthday!Only thing that kept me from giving it 5 stars...I really wish it was cordless. I love having it in my kitchen but trying to find a place to plug it in is a pain. And it won’t connect to my Bluetooth speaker while playing Amazon Prime Music for some reason, which is a drag when I want to hear it in the dining room during dinner. Of course, if it was CORDLESS I could just bring it with me...otherwise, I absolutely love it and will probably buy another one!""",1,love little spot thought would sound great little thingmy music play nice loud clear video terrifici watching prime show heck really impressed immediately convinced mom buy sister one birthdayonly thing kept giving starsi really wish cordless love kitchen trying find place plug pain not_connect bluetooth speaker playing amazon prime music reason drag want hear dining room dinner course cordless could bring meotherwise absolutely love probably buy another one
5,29-Jul-18,White  Show, ,1,no_review
3,30-Jul-18,Black  Dot,The commands Alexa requires are too specific.  I find Google home to be much more flexible in figuring out what I'm asking for.,2,command alexa requires specific find google home much flexible figuring asking
2,30-Jul-18,Black  Dot,Nope. Still a lot to be improved. For most of the things we ask.. It says.. Hmmmm.. I dont know that.,0,nope still lot improved thing ask say hmmmm not_know
5,31-Jul-18,Configuration: Fire TV Stick,Loved it!! Wish I would have bought one sooner.,1,loved wish would bought one sooner
5,30-Jul-18,Black  Dot,"""We have 3 echos now, even one in the barn, great idea for when I am working with my horse, can still get news flashes & my music!""",1,echo even one barn great idea working horse still get news flash music
5,30-Jul-18,Heather Gray Fabric ,Sound quality,1,sound quality
